date,prix95E10,prix98E10,prixGazole,prixElec,prixE85
2023-12,1.79,1.87,1.77,0.23,0.98
2023-11,1.83,1.91,1.84,0.2276,0.99
2023-10,1.87,1.94,1.91,0.2276,1.00
2023-09,1.95,2.02,1.93,0.2276,1.02
2023-08,1.93,1.99,1.85,0.2276,1.03
2023-07,1.84,1.91,1.72,0.2062,1.06
2023-06,1.86,1.94,1.7,0.2062,1.11
2023-05,1.85,1.93,1.69,0.2062,1.11
2023-04,1.93,2.0,1.81,0.2062,1.2
2023-03,1.9,1.98,1.85,0.2062,1.2
2023-02,1.89,1.98,1.86,0.2062,1.12
2023-01,1.86,1.94,1.92,0.174,1.1
2022-12,1.65,1.76,1.78,0.174,0.88
2022-11,1.68,1.79,1.88,0.174,0.85
2022-10,1.62,1.73,1.87,0.174,0.76
2022-09,1.51,1.63,1.74,0.174,0.67
2022-08,1.77,1.88,1.87,0.174,0.81
2022-07,1.95,2.07,2.0,0.174,0.84
2022-06,2.08,2.19,2.09,0.174,0.84
2022-05,1.89,1.98,1.9,0.174,0.77
2022-04,1.76,1.87,1.87,0.174,0.76
2022-03,1.96,2.05,2.02,0.174,0.89
2022-02,1.77,1.86,1.72,0.174,0.76
2022-01,1.69,1.77,1.63,0.1558,0.75
2021-12,1.61,1.7,1.54,0.1558,0.7
2021-11,1.65,1.74,1.57,0.1558,0.7
2021-10,1.63,1.71,1.56,0.1558,0.69
2021-09,1.57,1.65,1.46,0.1558,0.67
2021-08,1.57,1.65,1.45,0.1558,0.68
2021-07,1.56,1.65,1.45,0.1582,0.67
2021-06,1.53,1.6,1.43,0.1582,0.67
2021-05,1.51,1.59,1.4,0.1582,0.67
2021-04,1.51,1.59,1.39,0.1582,0.67
2021-03,1.5,1.57,1.4,0.1582,0.67
2021-02,1.45,1.52,1.36,0.1582,0.66
2021-01,1.4,1.47,1.31,0.1557,0.66
2020-12,1.35,1.42,1.27,0.1557,0.64
2020-11,1.33,1.39,1.22,0.1557,0.65
2020-10,1.33,1.4,1.21,0.1557,0.65
2020-09,1.33,1.4,1.22,0.1557,0.65
2020-08,1.33,1.4,1.25,0.1557,0.65
2020-07,1.34,1.41,1.25,0.1546,0.65
2020-06,1.31,1.37,1.22,0.1546,0.66
2020-05,1.25,1.31,1.18,0.1546,0.66
2020-04,1.27,1.35,1.23,0.1546,0.65
2020-03,1.39,1.47,1.32,0.1546,0.66
2020-02,1.49,1.56,1.42,0.1546,0.66
2020-01,1.53,1.6,1.49,0.1524,0.6
2019-12,1.51,1.58,1.47,0.1524,0.6
2019-11,1.49,1.56,1.44,0.1524,0.59
2019-10,1.48,1.55,1.44,0.1524,0.58
2019-09,1.48,1.55,1.44,0.1524,0.58
2019-08,1.48,1.56,1.42,0.1524,0.59
2019-07,1.5,1.57,1.42,0.1531,0.40
2019-06,1.51,1.59,1.43,0.1531,0.54
2019-05,1.56,1.64,1.49,0.1531,0.53
2019-04,1.54,1.61,1.47,0.1531,0.57
2019-03,1.47,1.54,1.46,0.1531,0.56
2019-02,1.43,1.5,1.44,0.1531,0.51
2019-01,1.4,1.48,1.4,0.145,0.48